id,miss/V,chi_nsubj|chi_obl:agent,chi_obj|chi_nsubj:pass
miss/mag_1919_493144_cleaned_part30.txt/5,['miss/V'],[],['connection/N']
miss/fic_1913_698_cleaned_part1103.txt/24,['miss/V'],[],['word/N']
miss/mag_1925_488307_cleaned_part25.txt/12,['miss/V'],['name/N'],[]
miss/fic_1911_5356_cleaned_part123.txt/28,['miss/V'],[],['platform/N']
miss/fic_1920_3482_cleaned_part136.txt/21,['miss/V'],[],['chance/N']
miss/fic_1918_380_cleaned_part353.txt/35,['miss/V'],['burro/N'],['drink/N']
miss/mag_1917_430749_cleaned_part157.txt/3,['miss/V'],[],['pickle/N']
miss/fic_1920_3319_cleaned_part1073.txt/21,['miss/V'],['one/P'],['tree/N']
miss/nf_1923_773816_cleaned_part107.txt/53,['miss/V'],['sense/N'],[]
miss/mag_1925_300407_cleaned_part3.txt/4,['miss/V'],[],['copy/N']
miss/fic_1919_13146_cleaned_part36.txt/28,['miss/V'],[],['way/N']
miss/fic_1914_2826_cleaned_part66.txt/7,['miss/V'],[],['much/J']
miss/fic_1921_4627_cleaned_part427.txt/39,['miss/V'],[],['something/N']
miss/fic_1921_483_cleaned_part104.txt/9,['miss/V'],['buddy/N'],['frank/N']
miss/nf_1921_751181_cleaned_part408.txt/71,['miss/V'],[],['much/J']
miss/fic_1914_145_cleaned_part958.txt/3,['miss/V'],[],['sparrow/N']
miss/fic_1917_1915_cleaned_part547.txt/61,['miss/V'],[],['joy/N']
miss/news_1922_688199_cleaned_part6.txt/6,['miss/V'],['smile/N'],[]
miss/news_1924_690890_cleaned_part1.txt/64,['miss/V'],['view/N'],['point/N']
miss/nf_1911_773872_cleaned_part206.txt/16,['miss/V'],[],['mark/N']
miss/fic_1917_13919_cleaned_part1078.txt/17,['miss/V'],[],['child/N']
miss/fic_1915_13907_cleaned_part56.txt/18,['miss/V'],['child/N'],[]
miss/fic_1910_3155_cleaned_part330.txt/102,['miss/V'],[],['visit/N']
miss/fic_1912_3500_cleaned_part601.txt/34,['miss/V'],['trail/N'],['connection/N']
miss/fic_1911_3479_cleaned_part305.txt/74,['miss/V'],[],"['breakin/N', 'heart/N']"
miss/fic_1914_14624_cleaned_part745.txt/13,['miss/V'],[],['something/N']
miss/fic_1922_2197_cleaned_part1531.txt/34,['miss/V'],['knife/N'],[]
miss/fic_1918_3785_cleaned_part114.txt/66,['miss/V'],[],['guess/N']
miss/mag_1922_432566_cleaned_part91.txt/176,['miss/V'],[],['night/N']
miss/fic_1921_2541_cleaned_part11.txt/28,['miss/V'],['one/P'],[]
miss/fic_1922_3087_cleaned_part7.txt/121,['miss/V'],['reader/N'],['some/D']
miss/fic_1919_3543_cleaned_part144.txt/23,['miss/V'],[],['train/N']
miss/fic_1922_2484_cleaned_part425.txt/28,['miss/V'],[],['anything/N']
miss/fic_1922_3170_cleaned_part287.txt/64,['miss/V'],['girl/N'],[]
miss/fic_1920_1158_cleaned_part134.txt/40,['miss/V'],['rydal/N'],['us/P']
miss/fic_1922_3477_cleaned_part458.txt/68,['miss/V'],[],['guess/N']
miss/fic_1921_2541_cleaned_part189.txt/21,['miss/V'],[],['lot/N']
miss/fic_1912_3500_cleaned_part1364.txt/5,['miss/V'],[],['trip/N']
miss/fic_1912_3500_cleaned_part755.txt/44,['miss/V'],[],['sign/N']
miss/fic_1914_2826_cleaned_part342.txt/32,['miss/V'],[],['mother/N']
miss/fic_1922_2484_cleaned_part118.txt/26,['miss/V'],['grandmother/N'],['rent/N']
miss/fic_1920_3788_cleaned_part159.txt/11,['miss/V'],[],['party/N']
miss/nf_1911_749852_cleaned_part357.txt/47,['miss/V'],['book/N'],[]
miss/mag_1921_430864_cleaned_part17.txt/94,['miss/V'],[],['joy/N']
miss/fic_1912_3558_cleaned_part726.txt/49,['miss/V'],[],['some/D']
miss/fic_1922_2326_cleaned_part861.txt/30,['miss/V'],[],['way/N']
miss/fic_1912_639_cleaned_part1213.txt/36,['miss/V'],['society/N'],[]
miss/mag_1915_430629_cleaned_part7.txt/4,['miss/V'],[],['truth/N']
miss/news_1929_696021_cleaned_part1.txt/27,['miss/V'],['wet/N'],['point/N']
miss/fic_1922_4863_cleaned_part27.txt/142,['miss/V'],[],['train/N']
miss/fic_1922_1836_cleaned_part704.txt/18,['miss/V'],[],['most/J']
miss/fic_1922_2524_cleaned_part1655.txt/69,['miss/V'],['ball/N'],[]
miss/fic_1922_2197_cleaned_part1639.txt/24,['miss/V'],[],['heart/N']
miss/fic_1910_1260_cleaned_part522.txt/45,['miss/V'],[],['train/N']
miss/fic_1916_3807_cleaned_part685.txt/73,['miss/V'],['drummer/N'],['train/N']
miss/fic_1911_1481_cleaned_part159.txt/75,['miss/V'],['leslie/N'],['book/N']
miss/mag_1917_430751_cleaned_part9.txt/55,['miss/V'],[],['despair/N']
miss/fic_1920_1913_cleaned_part1511.txt/67,['miss/V'],[],['opportunity/N']
miss/fic_1921_3086_cleaned_part763.txt/26,['miss/V'],[],['junket/N']
miss/fic_1921_3815_cleaned_part1715.txt/9,['miss/V'],[],['trail/N']
miss/fic_1911_3479_cleaned_part1223.txt/82,['miss/V'],[],['vee/N']
miss/nf_1919_772556_cleaned_part653.txt/55,['miss/V'],['one/P'],[]
miss/mag_1920_486125_cleaned_part7.txt/21,['miss/V'],[],['one-half/N']
miss/fic_1921_2435_cleaned_part297.txt/9,['miss/V'],[],['sound/N']
miss/fic_1920_4738_cleaned_part325.txt/69,['miss/V'],[],['nursery/N']
miss/fic_1928_14193_cleaned_part27.txt/2,['miss/V'],[],['annie/N']
miss/mag_1917_430770_cleaned_part26.txt/5,['miss/V'],[],['opportunity/N']
miss/mag_1923_457395_cleaned_part62.txt/6,['miss/V'],['paper/N'],['issue/N']
miss/nf_1913_773580_cleaned_part118.txt/26,['miss/V'],[],['secret/N']
miss/nf_1922_770713_cleaned_part287.txt/34,['miss/V'],['one/P'],[]
miss/fic_1922_3310_cleaned_part548.txt/4,['miss/V'],[],['many/J']
miss/fic_1918_3785_cleaned_part549.txt/83,['miss/V'],[],['girl/N']
miss/mag_1912_487137_cleaned_part25.txt/30,['miss/V'],[],['alchemy/N']
miss/mag_1926_220463_cleaned_part5.txt/51,['miss/V'],[],['head/N']
miss/fic_1922_2566_cleaned_part664.txt/102,['miss/V'],['countryman/N'],[]
miss/fic_1920_3348_cleaned_part1321.txt/23,['miss/V'],[],['pierre/N']
miss/fic_1919_1550_cleaned_part740.txt/33,['miss/V'],[],"['much/J', 'boy/N']"
miss/fic_1923_13942_cleaned_part611.txt/42,['miss/V'],[],['zero/C']
miss/mag_1928_300329_cleaned_part4.txt/29,['miss/V'],[],['collision/N']
miss/fic_1914_5125_cleaned_part306.txt/11,['miss/V'],[],['trail/N']
miss/mag_1923_493294_cleaned_part12.txt/71,['miss/V'],[],['opportunity/N']
miss/fic_1915_2993_cleaned_part1338.txt/26,['miss/V'],[],['visit/N']
miss/fic_1918_13333_cleaned_part549.txt/7,['miss/V'],[],['habit/N']
miss/fic_1922_3477_cleaned_part90.txt/60,['miss/V'],[],['one/N']
miss/fic_1914_13909_cleaned_part26.txt/30,['miss/V'],[],['part/N']
miss/fic_1918_3785_cleaned_part549.txt/67,['miss/V'],[],['lot/N']
miss/mag_1915_493037_cleaned_part25.txt/43,['miss/V'],['suffragist/N'],['personality/N']
miss/fic_1917_3499_cleaned_part703.txt/5,['miss/V'],['pity/N'],['defeat/N']
miss/fic_1912_1583_cleaned_part381.txt/6,['miss/V'],['boy/N'],['opportunity/N']
miss/fic_1912_14630_cleaned_part489.txt/31,['miss/V'],['nobody/N'],['feel/N']
miss/fic_1922_1833_cleaned_part254.txt/67,['miss/V'],[],['trail/N']
miss/fic_1922_5521_cleaned_part882.txt/37,['miss/V'],[],['camp/N']
miss/fic_1925_16214_cleaned_part81.txt/115,['miss/V'],['tooth/N'],[]
miss/mag_1918_434228_cleaned_part12.txt/120,['miss/V'],[],['fight/N']
miss/mag_1911_430492_cleaned_part62.txt/68,['miss/V'],['baby/N'],[]
miss/mag_1912_487101_cleaned_part7.txt/170,['miss/V'],[],['impression/N']
miss/mag_1928_490208_cleaned_part5.txt/19,['miss/V'],[],['square/N']
miss/fic_1912_1079_cleaned_part635.txt/61,['miss/V'],[],['lore/N']
miss/mag_1911_430486_cleaned_part41.txt/70,['miss/V'],[],['sign/N']
miss/mag_1922_486188_cleaned_part9.txt/29,['miss/V'],['explorer/N'],[]
miss/fic_1929_16406_cleaned_part538.txt/13,['miss/V'],[],['beat/N']
miss/fic_1918_3645_cleaned_part45.txt/67,['miss/V'],[],['anything/N']
miss/mag_1929_490231_cleaned_part31.txt/36,['miss/V'],[],['bell/N']
miss/fic_1921_4627_cleaned_part226.txt/27,['miss/V'],['guess/N'],['fire/N']
miss/fic_1919_3153_cleaned_part56.txt/84,['miss/V'],[],['hand/N']
miss/fic_1922_4863_cleaned_part74.txt/152,['miss/V'],[],['note/N']
miss/fic_1922_368_cleaned_part578.txt/31,['miss/V'],[],['us/P']
miss/fic_1913_4676_cleaned_part63.txt/35,['miss/V'],[],['boat/N']
miss/mag_1928_468475_cleaned_part65.txt/19,['miss/V'],['one/P'],['some/D']
miss/news_1923_689230_cleaned_part16.txt/22,['miss/V'],[],['event/N']
miss/fic_1914_2826_cleaned_part23.txt/23,['miss/V'],[],['vee/N']
miss/nf_1913_761343_cleaned_part495.txt/63,['miss/V'],['douglas/N'],['opportunity/N']
miss/nf_1917_749170_cleaned_part587.txt/67,['miss/V'],['boy/N'],[]
miss/news_1922_688336_cleaned_part2.txt/6,['miss/V'],['erie/N'],[]
miss/mag_1927_490168_cleaned_part37.txt/20,['miss/V'],[],['morning/N']
miss/fic_1922_4196_cleaned_part315.txt/56,['miss/V'],['eye/N'],['nothing/N']
miss/fic_1919_3067_cleaned_part761.txt/42,['miss/V'],[],['pet/N']
miss/mag_1928_468381_cleaned_part58.txt/33,['miss/V'],[],['experience/N']
miss/mag_1926_430956_cleaned_part13.txt/22,['miss/V'],[],['train/N']
miss/news_1914_681441_cleaned_part6.txt/67,['miss/V'],['shell/N'],[]
miss/mag_1912_436732_cleaned_part102.txt/62,['miss/V'],[],['fulfillment/N']
miss/news_1911_679383_cleaned_part4.txt/38,['miss/V'],"['other/N', 'one/N']",['train/N']
miss/fic_1923_5333_cleaned_part757.txt/89,['miss/V'],[],['ann/N']
miss/fic_1912_5100_cleaned_part1041.txt/37,['miss/V'],[],['thing/N']
miss/fic_1929_14119_cleaned_part365.txt/37,['miss/V'],[],['chance/N']
miss/fic_1922_1547_cleaned_part43.txt/18,['miss/V'],[],['companionship/N']
miss/fic_1922_368_cleaned_part1354.txt/11,['miss/V'],[],['way/N']
miss/fic_1922_3478_cleaned_part395.txt/15,['miss/V'],[],['fun/N']
miss/fic_1921_305_cleaned_part1801.txt/28,['miss/V'],[],['support/N']
miss/mag_1929_254805_cleaned_part1.txt/12,['miss/V'],['smell/N'],[]
miss/mag_1912_487138_cleaned_part19.txt/110,['miss/V'],[],['success/N']
miss/fic_1920_3765_cleaned_part732.txt/3,['miss/V'],[],['blanket/N']
miss/fic_1913_4840_cleaned_part1106.txt/42,['miss/V'],[],['evening/N']
miss/fic_1915_3013_cleaned_part230.txt/143,['miss/V'],[],['nothing/N']
miss/fic_1917_2199_cleaned_part56.txt/7,['miss/V'],[],['smell/N']
miss/mag_1920_430842_cleaned_part55.txt/97,['miss/V'],[],['tait/N']
miss/mag_1925_447954_cleaned_part17.txt/28,['miss/V'],[],['rest/N']
miss/mag_1912_430519_cleaned_part27.txt/41,['miss/V'],[],['daughter/N']
miss/fic_1917_2151_cleaned_part338.txt/9,['miss/V'],['princess/N'],[]
miss/fic_1921_13139_cleaned_part842.txt/25,['miss/V'],[],['conversation/N']
miss/fic_1918_3832_cleaned_part486.txt/16,['miss/V'],['polly/N'],['master/N']
miss/fic_1922_3310_cleaned_part82.txt/32,['miss/V'],[],['branch/N']
miss/fic_1919_3067_cleaned_part820.txt/4,['miss/V'],[],['child/N']
miss/fic_1922_3316_cleaned_part53.txt/10,['miss/V'],[],['guess/N']
miss/fic_1913_4676_cleaned_part290.txt/76,['miss/V'],[],['detail/N']
miss/mag_1910_486695_cleaned_part24.txt/37,['miss/V'],[],['t/N']
miss/fic_1912_3500_cleaned_part1353.txt/45,['miss/V'],[],['trip/N']
miss/mag_1911_487073_cleaned_part26.txt/93,['miss/V'],[],['prize/N']
miss/fic_1915_1222_cleaned_part460.txt/23,['miss/V'],[],['much/J']
miss/fic_1920_2360_cleaned_part1502.txt/40,['miss/V'],[],['ache/N']
miss/fic_1910_3293_cleaned_part1695.txt/37,['miss/V'],[],['both/D']
miss/fic_1922_1726_cleaned_part1539.txt/24,['miss/V'],[],['lot/N']
miss/fic_1914_3525_cleaned_part57.txt/5,['miss/V'],['gladys/N'],[]
miss/fic_1913_1776_cleaned_part132.txt/18,['miss/V'],['mr.-/N'],['connection/N']
miss/fic_1920_1396_cleaned_part671.txt/38,['miss/V'],[],['herself/P']
miss/nf_1920_751773_cleaned_part12.txt/49,['miss/V'],[],['persecutor/N']
miss/mag_1927_490169_cleaned_part26.txt/67,['miss/V'],[],['story/N']
miss/news_1912_679883_cleaned_part2.txt/3,['miss/V'],[],['anna/N']
miss/fic_1922_1833_cleaned_part1203.txt/25,['miss/V'],[],['point/N']
miss/fic_1913_481_cleaned_part237.txt/23,['miss/V'],[],['molasses/N']
miss/fic_1921_305_cleaned_part1904.txt/9,['miss/V'],['girl/N'],['father/N']
miss/news_1913_680801_cleaned_part15.txt/23,['miss/V'],['barry/N'],['throw/N']
miss/fic_1913_1776_cleaned_part154.txt/29,['miss/V'],[],['footing/N']
miss/fic_1910_3116_cleaned_part286.txt/23,['miss/V'],[],['train/N']
miss/fic_1917_3851_cleaned_part696.txt/94,['miss/V'],[],['chatter/N']
miss/fic_1917_5127_cleaned_part745.txt/17,['miss/V'],['family/N'],['opportunity/N']
miss/nf_1919_771003_cleaned_part274.txt/98,['miss/V'],[],['one/N']
miss/nf_1925_760373_cleaned_part190.txt/35,['miss/V'],[],['none/N']
miss/fic_1923_14067_cleaned_part153.txt/16,['miss/V'],['fellow/N'],['shot/N']
miss/fic_1922_1726_cleaned_part734.txt/7,['miss/V'],[],['good/N']
miss/fic_1913_4921_cleaned_part749.txt/4,['miss/V'],[],['point/N']
miss/fic_1922_3657_cleaned_part754.txt/7,['miss/V'],['native/N'],[]
miss/mag_1926_220390_cleaned_part5.txt/99,['miss/V'],[],['something/N']
miss/fic_1910_1260_cleaned_part338.txt/12,['miss/V'],[],['money/N']
miss/fic_1921_2976_cleaned_part637.txt/24,['miss/V'],[],['one/P']
miss/fic_1914_145_cleaned_part388.txt/46,['miss/V'],[],['part/N']
miss/fic_1921_3720_cleaned_part282.txt/41,['miss/V'],[],['breakfast/N']
miss/fic_1914_5125_cleaned_part1164.txt/6,['miss/V'],['crowd/N'],[]
miss/mag_1916_444602_cleaned_part81.txt/69,['miss/V'],[],['opportunity/N']
miss/fic_1921_3815_cleaned_part635.txt/30,['miss/V'],[],['adventure/N']
miss/fic_1929_13332_cleaned_part359.txt/22,['miss/V'],[],['anything/N']
miss/fic_1919_3313_cleaned_part270.txt/82,['miss/V'],[],['entrance/N']
miss/news_1917_683386_cleaned_part1.txt/64,['miss/V'],['some/D'],[]
miss/fic_1920_1302_cleaned_part961.txt/11,['miss/V'],[],['harriet/N']
miss/fic_1918_1051_cleaned_part875.txt/20,['miss/V'],['kate/N'],[]
miss/fic_1914_482_cleaned_part848.txt/21,['miss/V'],['pill/N'],[]
miss/fic_1918_3115_cleaned_part387.txt/61,['miss/V'],['alicia/N'],[]
miss/news_1926_692873_cleaned_part4.txt/29,['miss/V'],['head/N'],[]
miss/mag_1918_430792_cleaned_part6.txt/38,['miss/V'],[],['kind/N']
miss/nf_1924_773602_cleaned_part182.txt/52,['miss/V'],[],['interest/N']
miss/fic_1913_4840_cleaned_part1467.txt/76,['miss/V'],['something/N'],[]
miss/mag_1915_487182_cleaned_part211.txt/105,['miss/V'],['will/N'],['varied/J']
miss/fic_1920_576_cleaned_part1161.txt/53,['miss/V'],[],['guess/N']
miss/news_1915_681971_cleaned_part2.txt/67,['miss/V'],[],['weakness/N']
miss/fic_1921_3835_cleaned_part924.txt/60,['miss/V'],[],['son/N']
miss/mag_1918_434238_cleaned_part12.txt/39,['miss/V'],[],['view/N']
miss/fic_1917_2681_cleaned_part745.txt/56,['miss/V'],[],['way/N']
miss/mag_1928_254195_cleaned_part1.txt/19,['miss/V'],['stone/N'],['deer/N']
miss/fic_1922_1833_cleaned_part1590.txt/31,['miss/V'],['any/D'],[]
miss/fic_1922_2522_cleaned_part230.txt/43,['miss/V'],[],['something/N']
miss/fic_1922_5105_cleaned_part1090.txt/20,['miss/V'],[],['lady/N']
miss/mag_1910_486695_cleaned_part49.txt/30,['miss/V'],[],['trace/N']
miss/fic_1916_3504_cleaned_part477.txt/65,['miss/V'],[],['round/N']
miss/fic_1921_3298_cleaned_part558.txt/50,['miss/V'],[],['tish/N']
miss/fic_1912_1079_cleaned_part631.txt/18,['miss/V'],['cortland/N'],[]
miss/nf_1921_751181_cleaned_part478.txt/21,['miss/V'],['half/N'],[]
miss/fic_1921_3086_cleaned_part759.txt/80,['miss/V'],[],['party/N']
miss/fic_1917_2737_cleaned_part1248.txt/21,['miss/V'],[],['companionship/N']
miss/fic_1921_2541_cleaned_part92.txt/17,['miss/V'],[],['shot/N']
miss/news_1911_679616_cleaned_part22.txt/38,['miss/V'],[],['top/N']
miss/fic_1921_3835_cleaned_part65.txt/16,['miss/V'],[],['prairie/N']
miss/fic_1929_1399_cleaned_part164.txt/4,['miss/V'],['one/N'],['twaddles/N']
miss/nf_1919_774025_cleaned_part234.txt/120,['miss/V'],"['cussion/N', 'environment/N']",['point/N']
miss/fic_1921_2669_cleaned_part1838.txt/33,['miss/V'],['murray/N'],['amy/N']
miss/fic_1921_5087_cleaned_part272.txt/30,['miss/V'],['eye/N'],[]
miss/fic_1916_1760_cleaned_part49.txt/50,['miss/V'],[],['beauty/N']
miss/fic_1918_13333_cleaned_part558.txt/33,['miss/V'],[],['em/P']
miss/fic_1920_2600_cleaned_part574.txt/23,['miss/V'],['boss/N'],['liquor/N']
miss/fic_1920_550_cleaned_part937.txt/7,['miss/V'],['reporter/N'],[]
miss/news_1920_685908_cleaned_part2.txt/120,['miss/V'],[],['market/N']
miss/fic_1918_3115_cleaned_part1049.txt/56,['miss/V'],['each/D'],['other/J']
miss/fic_1913_4676_cleaned_part164.txt/29,['miss/V'],[],['money/N']
miss/fic_1922_3477_cleaned_part336.txt/23,['miss/V'],[],['glass/N']
miss/fic_1920_215_cleaned_part908.txt/116,['miss/V'],[],['word/N']
miss/fic_1912_3500_cleaned_part884.txt/21,['miss/V'],['nobody/N'],['beaver/N']
miss/fic_1921_316_cleaned_part106.txt/118,['miss/V'],[],['issue/N']
miss/fic_1920_2600_cleaned_part512.txt/25,['miss/V'],[],['un/N']
miss/news_1928_694767_cleaned_part5.txt/78,['miss/V'],['people/N'],['feature/N']
miss/fic_1912_2560_cleaned_part380.txt/17,['miss/V'],[],['some/D']
miss/fic_1915_5360_cleaned_part391.txt/49,['miss/V'],[],['guess/N']
miss/mag_1910_465487_cleaned_part43.txt/32,['miss/V'],['one/N'],['conclusion/N']
miss/fic_1920_5739_cleaned_part71.txt/84,['miss/V'],[],['routine/N']
miss/fic_1923_4570_cleaned_part1637.txt/9,['miss/V'],['rub/N'],['mark/N']
miss/fic_1923_5333_cleaned_part326.txt/34,['miss/V'],[],['joke/N']
miss/fic_1917_1415_cleaned_part541.txt/7,['miss/V'],[],['way/N']
miss/fic_1922_2484_cleaned_part743.txt/40,['miss/V'],[],['quarry/N']
miss/fic_1913_4676_cleaned_part58.txt/22,['miss/V'],[],['boat/N']
miss/fic_1922_3310_cleaned_part509.txt/68,['miss/V'],[],['course/N']
miss/nf_1913_761343_cleaned_part101.txt/74,['miss/V'],[],['time/N']
miss/fic_1918_1051_cleaned_part527.txt/57,['miss/V'],[],['day/N']
miss/fic_1917_2737_cleaned_part1417.txt/5,['miss/V'],[],['living/N']
miss/news_1910_679262_cleaned_part15.txt/16,['miss/V'],['article/N'],[]
miss/nf_1917_769392_cleaned_part343.txt/53,['miss/V'],[],['sheet/N']
miss/fic_1911_13932_cleaned_part884.txt/12,['miss/V'],['ye/P'],['trip/N']
miss/fic_1921_3815_cleaned_part2002.txt/64,['miss/V'],['mona/N'],['point/N']
miss/fic_1915_13926_cleaned_part117.txt/35,['miss/V'],[],['something/N']
miss/fic_1914_381_cleaned_part546.txt/43,['miss/V'],[],['lung/N']
miss/mag_1928_300935_cleaned_part3.txt/47,['miss/V'],[],['kick/N']
miss/fic_1920_1800_cleaned_part116.txt/42,['miss/V'],[],['first/J']
